,season,city,team1,team2,venue
305,2011,Chennai,Royal Challengers Bangalore,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
306,2011,Chennai,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk"
307,2012,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
308,2012,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens
309,2012,Mumbai,Pune Warriors,Mumbai Indians,Wankhede Stadium
310,2012,Jaipur,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium
311,2012,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium
312,2012,Visakhapatnam,Chennai Super Kings,Deccan Chargers,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
313,2012,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
314,2012,Pune,Pune Warriors,Kings XI Punjab,Subrata Roy Sahara Stadium
315,2012,Visakhapatnam,Deccan Chargers,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
316,2012,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
317,2012,Delhi,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla
318,2012,Mumbai,Mumbai Indians,Rajasthan Royals,Wankhede Stadium
319,2012,Chennai,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
320,2012,Chandigarh,Pune Warriors,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
321,2012,Kolkata,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens
322,2012,Delhi,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla
323,2012,Pune,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium
324,2012,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
325,2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium
326,2012,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium
327,2012,Jaipur,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium
328,2012,Bangalore,Pune Warriors,Royal Challengers Bangalore,M Chinnaswamy Stadium
329,2012,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
330,2012,Hyderabad,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
331,2012,Chennai,Chennai Super Kings,Pune Warriors,"MA Chidambaram Stadium, Chepauk"
332,2012,Chandigarh,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali"
333,2012,Chennai,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
334,2012,Delhi,Pune Warriors,Delhi Daredevils,Feroz Shah Kotla
335,2012,Mumbai,Mumbai Indians,Kings XI Punjab,Wankhede Stadium
336,2012,Cuttack,Deccan Chargers,Kolkata Knight Riders,Barabati Stadium
337,2012,Jaipur,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium
338,2012,Pune,Pune Warriors,Delhi Daredevils,Subrata Roy Sahara Stadium
339,2012,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
