,season,city,team1,team2,venue
0,2017,Hyderabad,Sunrisers Hyderabad,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
1,2017,Pune,Mumbai Indians,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
2,2017,Rajkot,Gujarat Lions,Kolkata Knight Riders,Saurashtra Cricket Association Stadium
3,2017,Indore,Rising Pune Supergiant,Kings XI Punjab,Holkar Cricket Stadium
4,2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium
5,2017,Hyderabad,Gujarat Lions,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
6,2017,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium
7,2017,Indore,Royal Challengers Bangalore,Kings XI Punjab,Holkar Cricket Stadium
8,2017,Pune,Delhi Daredevils,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
9,2017,Mumbai,Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium
10,2017,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
11,2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
12,2017,Rajkot,Rising Pune Supergiant,Gujarat Lions,Saurashtra Cricket Association Stadium
13,2017,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Eden Gardens
14,2017,Delhi,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla
15,2017,Mumbai,Gujarat Lions,Mumbai Indians,Wankhede Stadium
16,2017,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,M Chinnaswamy Stadium
17,2017,Delhi,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla
18,2017,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
19,2017,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Saurashtra Cricket Association Stadium
20,2017,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
21,2017,Indore,Kings XI Punjab,Mumbai Indians,Holkar Cricket Stadium
22,2017,Kolkata,Kolkata Knight Riders,Gujarat Lions,Eden Gardens
23,2017,Mumbai,Mumbai Indians,Delhi Daredevils,Wankhede Stadium
24,2017,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
25,2017,Rajkot,Kings XI Punjab,Gujarat Lions,Saurashtra Cricket Association Stadium
26,2017,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens
27,2017,Mumbai,Rising Pune Supergiant,Mumbai Indians,Wankhede Stadium
28,2017,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Maharashtra Cricket Association Stadium
29,2017,Bangalore,Royal Challengers Bangalore,Gujarat Lions,M Chinnaswamy Stadium
30,2017,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens
31,2017,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
32,2017,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium
33,2017,Rajkot,Gujarat Lions,Mumbai Indians,Saurashtra Cricket Association Stadium
34,2017,Chandigarh,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali"
35,2017,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal"
36,2017,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Wankhede Stadium
37,2017,Pune,Gujarat Lions,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
38,2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla
39,2017,Kolkata,Kolkata Knight Riders,Rising Pune Supergiant,Eden Gardens
40,2017,Delhi,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla
41,2017,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium
42,2017,Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
43,2017,Delhi,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla
44,2017,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium
45,2017,Chandigarh,Kings XI Punjab,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali"
46,2017,Hyderabad,Mumbai Indians,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal"
47,2017,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali"
48,2017,Kanpur,Gujarat Lions,Delhi Daredevils,Green Park
49,2017,Mumbai,Kings XI Punjab,Mumbai Indians,Wankhede Stadium
50,2017,Delhi,Delhi Daredevils,Rising Pune Supergiant,Feroz Shah Kotla
51,2017,Kanpur,Gujarat Lions,Sunrisers Hyderabad,Green Park
52,2017,Kolkata,Mumbai Indians,Kolkata Knight Riders,Eden Gardens
53,2017,Pune,Kings XI Punjab,Rising Pune Supergiant,Maharashtra Cricket Association Stadium
54,2017,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla
55,2017,Mumbai,Rising Pune Supergiant,Mumbai Indians,Wankhede Stadium
57,2017,Bangalore,Kolkata Knight Riders,Mumbai Indians,M Chinnaswamy Stadium
58,2017,Hyderabad,Mumbai Indians,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal"
59,2008,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium
60,2008,Chandigarh,Chennai Super Kings,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
61,2008,Delhi,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla
62,2008,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium
63,2008,Kolkata,Deccan Chargers,Kolkata Knight Riders,Eden Gardens
64,2008,Jaipur,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium
65,2008,Hyderabad,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal"
66,2008,Chennai,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk"
67,2008,Hyderabad,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal"
68,2008,Chandigarh,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali"
69,2008,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium
70,2008,Chennai,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
71,2008,Mumbai,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy
72,2008,Chandigarh,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
73,2008,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium
74,2008,Kolkata,Kolkata Knight Riders,Mumbai Indians,Eden Gardens
75,2008,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla
76,2008,Hyderabad,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal"
77,2008,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium
78,2008,Chennai,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk"
79,2008,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal"
80,2008,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali"
81,2008,Mumbai,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy
82,2008,Jaipur,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium
83,2008,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium
84,2008,Chennai,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk"
85,2008,Mumbai,Rajasthan Royals,Mumbai Indians,Dr DY Patil Sports Academy
86,2008,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla
87,2008,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens
88,2008,Jaipur,Deccan Chargers,Rajasthan Royals,Sawai Mansingh Stadium
89,2008,Bangalore,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium
90,2008,Chennai,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk"
91,2008,Hyderabad,Kolkata Knight Riders,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
92,2008,Jaipur,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium
93,2008,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
94,2008,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens
95,2008,Mumbai,Chennai Super Kings,Mumbai Indians,Wankhede Stadium
96,2008,Chandigarh,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali"
97,2008,Delhi,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla
98,2008,Mumbai,Kolkata Knight Riders,Mumbai Indians,Wankhede Stadium
100,2008,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium
101,2008,Hyderabad,Mumbai Indians,Deccan Chargers,"Rajiv Gandhi International Stadium, Uppal"
103,2008,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium
104,2008,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens
105,2008,Mumbai,Kings XI Punjab,Mumbai Indians,Wankhede Stadium
106,2008,Chennai,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
107,2008,Chandigarh,Deccan Chargers,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali"
108,2008,Delhi,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla
109,2008,Chennai,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
110,2008,Bangalore,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium
111,2008,Kolkata,Kings XI Punjab,Kolkata Knight Riders,Eden Gardens
112,2008,Jaipur,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium
113,2008,Hyderabad,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal"
114,2008,Mumbai,Rajasthan Royals,Delhi Daredevils,Wankhede Stadium
115,2008,Mumbai,Kings XI Punjab,Chennai Super Kings,Wankhede Stadium
116,2008,Mumbai,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy
117,2009,Cape Town,Mumbai Indians,Chennai Super Kings,Newlands
118,2009,Cape Town,Royal Challengers Bangalore,Rajasthan Royals,Newlands
120,2009,Cape Town,Kolkata Knight Riders,Deccan Chargers,Newlands
121,2009,Port Elizabeth,Chennai Super Kings,Royal Challengers Bangalore,St George's Park
123,2009,Cape Town,Deccan Chargers,Royal Challengers Bangalore,Newlands
124,2009,Durban,Delhi Daredevils,Chennai Super Kings,Kingsmead
125,2009,Cape Town,Rajasthan Royals,Kolkata Knight Riders,Newlands
126,2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead
127,2009,Durban,Deccan Chargers,Mumbai Indians,Kingsmead
128,2009,Port Elizabeth,Royal Challengers Bangalore,Delhi Daredevils,St George's Park
129,2009,Cape Town,Kings XI Punjab,Rajasthan Royals,Newlands
130,2009,Durban,Chennai Super Kings,Deccan Chargers,Kingsmead
131,2009,Port Elizabeth,Mumbai Indians,Kolkata Knight Riders,St George's Park
132,2009,Centurion,Delhi Daredevils,Rajasthan Royals,SuperSport Park
133,2009,Durban,Kolkata Knight Riders,Royal Challengers Bangalore,Kingsmead
134,2009,Durban,Kings XI Punjab,Mumbai Indians,Kingsmead
135,2009,Centurion,Deccan Chargers,Delhi Daredevils,SuperSport Park
136,2009,Centurion,Chennai Super Kings,Rajasthan Royals,SuperSport Park
137,2009,East London,Mumbai Indians,Kolkata Knight Riders,Buffalo Park
138,2009,Durban,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead
139,2009,Port Elizabeth,Deccan Chargers,Rajasthan Royals,St George's Park
140,2009,Johannesburg,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium
141,2009,Port Elizabeth,Kolkata Knight Riders,Kings XI Punjab,St George's Park
142,2009,Johannesburg,Mumbai Indians,Royal Challengers Bangalore,New Wanderers Stadium
143,2009,East London,Chennai Super Kings,Deccan Chargers,Buffalo Park
144,2009,Durban,Rajasthan Royals,Kings XI Punjab,Kingsmead
145,2009,Durban,Kolkata Knight Riders,Delhi Daredevils,Kingsmead
146,2009,Centurion,Deccan Chargers,Mumbai Indians,SuperSport Park
147,2009,Centurion,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park
149,2009,East London,Mumbai Indians,Delhi Daredevils,Buffalo Park
150,2009,Kimberley,Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval
151,2009,Kimberley,Rajasthan Royals,Chennai Super Kings,De Beers Diamond Oval
152,2009,Port Elizabeth,Mumbai Indians,Royal Challengers Bangalore,St George's Park
153,2009,Johannesburg,Kolkata Knight Riders,Delhi Daredevils,New Wanderers Stadium
154,2009,Kimberley,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval
155,2009,Centurion,Kolkata Knight Riders,Royal Challengers Bangalore,SuperSport Park
156,2009,Centurion,Kings XI Punjab,Mumbai Indians,SuperSport Park
157,2009,Durban,Delhi Daredevils,Deccan Chargers,Kingsmead
158,2009,Durban,Chennai Super Kings,Royal Challengers Bangalore,Kingsmead
159,2009,Durban,Rajasthan Royals,Mumbai Indians,Kingsmead
160,2009,Bloemfontein,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval
161,2009,Port Elizabeth,Mumbai Indians,Chennai Super Kings,St George's Park
162,2009,Johannesburg,Kolkata Knight Riders,Deccan Chargers,New Wanderers Stadium
163,2009,Johannesburg,Kings XI Punjab,Deccan Chargers,New Wanderers Stadium
164,2009,Bloemfontein,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval
165,2009,Centurion,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park
166,2009,Johannesburg,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium
167,2009,Durban,Rajasthan Royals,Kolkata Knight Riders,Kingsmead
168,2009,Durban,Chennai Super Kings,Kings XI Punjab,Kingsmead
169,2009,Centurion,Mumbai Indians,Delhi Daredevils,SuperSport Park
170,2009,Centurion,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park
171,2009,Centurion,Delhi Daredevils,Deccan Chargers,SuperSport Park
172,2009,Johannesburg,Chennai Super Kings,Royal Challengers Bangalore,New Wanderers Stadium
173,2009,Johannesburg,Deccan Chargers,Royal Challengers Bangalore,New Wanderers Stadium
174,2010,Mumbai,Kolkata Knight Riders,Deccan Chargers,Dr DY Patil Sports Academy
175,2010,Mumbai,Mumbai Indians,Rajasthan Royals,Brabourne Stadium
176,2010,Chandigarh,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali"
177,2010,Kolkata,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens
178,2010,Chennai,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk"
179,2010,Ahmedabad,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera"
180,2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium
181,2010,Kolkata,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens
182,2010,Delhi,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla
183,2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium
184,2010,Delhi,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla
185,2010,Cuttack,Deccan Chargers,Kings XI Punjab,Barabati Stadium
186,2010,Ahmedabad,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera"
